name,alt_name,name:nan-HJ,name:nan,name:nan-TL
大漢技術學院,,大漢技術學院,Tāi-hàn Ki-su̍t Ha̍k-īⁿ,Tāi-hàn-ki-su̍t-ha̍k-īnn
國立台北藝術大學,,國立臺北藝術大學,Kok-li̍p Tâi-pak Gē-su̍t Tāi-ha̍k,Kok-li̍p Tâi-pak Gē-su̍t Tāi-ha̍k
臺北城市科技大學,,臺北城市科技大學,Tâi-pak Siâⁿ-chhī Kho-ki Tāi-ha̍k,Tâi-pak Siânn-tshī Kho-ki Tāi-ha̍k
中央警察大學,,中央警察大學,Tiong-iang Kéng-chhat Tāi-ha̍k,Tiong-iong Kíng-tshat Tāi-ha̍k
文華高中,,文華高中,Bûn-hôa Ko-tiong,Bûn-huâ Ko-tiong
國立東華大學,,國立東華大學,Kok-li̍p Tong-hôa Tāi-ha̍k,Kok-li̍p-tong-huâ-tāi-ha̍k
金山國小,,金山國小,Kim-soaⁿ Kok-sió,Kim-suann Kok-sió
金山高中,,金山高中,Kim-soaⁿ Ko-tiong,Kim-suann Ko-tiong
金美國小,,金美國小,Kim-bí Kok-sió,Kim-bí Kok-sió
蒔裡國小,,,Sī-lí-kok-sió,
