name,name:nan,name:nan-HJ,name:nan-TL
淡金路三段,Tām-kim-lō͘ 3-tōaⁿ,淡金路三段,Tām-kim-lōo 3-tuānn
淡金路五段,Tām-kim-lō͘ 5-tōaⁿ,淡金路五段,Tām-kim-lōo 5-tuānn
淡金路四段,Tām-kim-lō͘ 4-tōaⁿ,淡金路四段,Tām-kim-lōo 4-tuānn
深南路,Chhim-lâm-lō͘,,Tshim-lâm-lōo
清溪橋,Chheng-khe-kiô,,
紹興北街,Siāu-heng Pak-koe,紹興北街,Siāu-hing Pak-kue
紹興南街,Siāu-heng Lâm-koe,紹興南街,Siāu-hing Lâm-kue
莊頂路,Chng-téng-lō͘,,
莊頂路橋,Chng-téng-lō͘-kiô,,
莊敬路,Chong-kèng-lō͘,,Tsong-kìng-lōo
莊敬隧道,Chong-kèng-pōng-khang,,Tsong-kìng-pōng-khang
莒光路,Kú-kong-lō͘,莒光路,Kú-kong-lōo
許昌街,Hí-chhiong-koe,許昌街,Hí-tshiong-kue
許昌街8巷,Hí-chhiong-koe 8-hāng,許昌街8巷,Hí-tshiong-kue 8-hāng
通北街,Thong-pak-ke,,
雪山隧道,Soat-soaⁿ Pōng-khang,雪山磅空,Suat-suann Pōng-khang
凱達格蘭大道,Ke-ta-ga-lán_Tāi-tō,,Ke-ta-ga-lán-Tāi-tō
博愛路,Phok-ài-lō͘,博愛路,Phok-ài-lōo
博愛路160巷,Phok-ài-lō͘ 160-hāng,博愛路160巷,Phok-ài-lōo 160-hāng
博愛路191巷,Phok-ài-lō͘ 191-hāng,博愛路191巷,Phok-ài-lōo 191-hāng
博愛路1巷,Phok-ài-lō͘ 1-hāng,博愛路1巷,Phok-ài-lōo 1-hāng
博愛路203巷,Phok-ài-lō͘ 203-hāng,博愛路203巷,Phok-ài-lōo 203-hāng
博愛路212巷,Phok-ài-lō͘ 212-hāng,博愛路212巷,Phok-ài-lōo 212-hāng
博愛路218巷,Phok-ài-lō͘ 218-hāng,博愛路218巷,Phok-ài-lōo 218-hāng
博愛路224巷,Phok-ài-lō͘ 224-hāng,博愛路224巷,Phok-ài-lōo 224-hāng
博愛路224巷2弄,Phok-ài-lō͘ 224-hāng 2-lōng,博愛路224巷2弄,Phok-ài-lōo 224-hāng 2-lōng
博愛路230巷,Phok-ài-lō͘ 230-hāng,博愛路230巷,Phok-ài-lōo 230-hāng
富陽街,Hù-iông-ke,,Hù-iông-ke
彭山隧道,Phîⁿ-soaⁿ Pōng-khang,彭山磅空,Phînn-suann Pōng-khang
復北地下道,Ho̍k-pak-tē-hā-tō,,Ho̍k-pak-tē-hā-tō
復興北路,Ho̍k-heng-pak-lō͘,,Ho̍k-hing-pak-lōo
復興南路一段,Ho̍k-heng-lâm-lō͘-1-tōaⁿ,,Ho̍k-hing-lâm-lōo-1-tuānn
復興南路二段,Ho̍k-heng-lâm-lō͘-2-tōaⁿ,,Ho̍k-hing-lâm-lōo-2-tuānn
復興路,Ho̍k-heng-lō͘,復興路,Ho̍k-hing-lōo
復興橋,Ho̍k-heng-kiô,,
惠安街,Hūi-an-koe,惠安街,Huī-an-kue
敦化北路,Tun-hòa-Pak-lō͘,敦化北路,Tun-huà Pak-lōo
敦化南路一段,Tun-hòa-lâm-lō͘ 1-tōaⁿ,敦化南路一段,Tun-huà lâm-lōo 1-tuānn
敦化南路二段,Tun-hòa-lâm-lō͘ 2-tōaⁿ,,Tun-huà lâm-lōo 2-tuānn
景中街,Kéng-tiong-ke,,Kíng-tiong-ke
景文街,Kéng-bûn-koe,景文街,Kíng-bûn-kue
景明街,Kéng-bêng-koe,景明街,Kíng-bîng-kue
景明街29巷,Kéng-bêng-koe 29-hāng,景明街29巷,Kíng-bîng-kue 29-hāng
景明街68巷,Kéng-bêng-koe 68-hāng,景明街68巷,Kíng-bîng-kue 68-hāng
景明街84巷,Kéng-bêng-koe 84-hāng,景明街84巷,Kíng-bîng-kue 84-hāng
景明街84巷2弄,Kéng-bêng-koe 84-hāng 2-lōng,景明街84巷2弄,Kíng-bîng-kue 84-hāng 2-lōng
景後街,Kéng-āu-ke,景後街,Kíng-āu-ke
景美街,Kéng-bé-koe,景尾街,Kíng-bé-kue
景美溪右岸自行車道,Kéng-bé-khoe Iū-hōaⁿ Thih-bé-tō,景尾溪右岸鐵馬道,Kíng-bé-khue Iū-huānn Thih-bé-tō
景美溪左岸自行車道,Kéng-bé-khoe Chó-hōaⁿ Thih-bé-tō,景尾溪左岸鐵馬道,Kíng-bé-khue Tsó-huānn Thih-bé-tō
景美溪橋,Kíng-bé-khe-kiâu,,
景美橋,Kéng-bé-kiô,,Kíng-bé-kiâu
景華街,Kéng-hôa-koe,景華街,Kíng-huâ-kue
景隆街,Kéng-liông-ke,景隆街,Kíng-liông-ke
景隆街1巷10弄,Kéng-liông-koe 1-hāng 10-lōng,景隆街1巷10弄,Kíng-liông-kue 1-hāng 10-lōng
景隆街1巷12弄,Kéng-liông-koe 1-hāng 12-lōng,景隆街1巷12弄,Kíng-liông-kue 1-hāng 12-lōng
景隆街36巷,Kéng-liông-ke 36-hāng,景隆街36巷,Kíng-liông-ke 36-hāng
景福街,Kéng-hok-koe,景福街,Kíng-hok-kue
景福街21巷,Kéng-hok-koe 21-hāng,景福街21巷,Kíng-hok-kue 21-hāng
景福街21巷1弄,Kéng-hok-koe 21-hāng 1-lōng,景福街21巷1弄,Kíng-hok-kue 21-hāng 1-lōng
景福街21巷2弄,Kéng-hok-koe 21-hāng 2-lōng,景福街21巷2弄,Kíng-hok-kue 21-hāng 2-lōng
景福街21巷3弄,Kéng-hok-koe 21-hāng 3-lōng,景福街21巷3弄,Kíng-hok-kue 21-hāng 3-lōng
景福街21巷4弄,Kéng-hok-koe 21-hāng 4-lōng,景福街21巷4弄,Kíng-hok-kue 21-hāng 4-lōng
景福街3巷,Kéng-hok-koe 3-hāng,景福街3巷,Kíng-hok-kue 3-hāng
景興路,Kéng-heng-lō͘,景興路,Kíng-hing-lōo
景興路10巷,Kéng-heng-lō͘ 10-hāng,景興路10巷,Kíng-hing-lōo 10-hāng
景興路17巷,Kéng-heng-lō͘ 17-hāng,景興路17巷,Kíng-hing-lōo 17-hāng
景興路202巷,Kéng-heng-koe 202-hāng,景興路202巷,Kíng-hing-lōo 202-hāng
景興路23巷,Kéng-heng-lō͘ 23-hāng,景興路23巷,Kíng-hing-lōo 23-hāng
景興路42巷,Kéng-heng-lō͘ 42-hāng,景興路42巷,Kíng-hing-lōo 42-hāng
景興路42巷2弄,Kéng-heng-lō͘ 42-hāng 2-lōng,景興路42巷2弄,Kíng-hing-lōo 42-hāng 2-lōng
景興路42巷4弄,Kéng-heng-lō͘ 42-hāng 4-lōng,景興路42巷4弄,Kíng-hing-lōo 42-hāng 4-lōng
景興路42巷8弄,Kéng-heng-lō͘ 42-hāng 8-lōng,景興路42巷8弄,Kíng-hing-lōo 42-hāng 8-lōng
景興路46巷,Kéng-heng-lō͘ 46-hāng,景興路46巷,Kíng-hing-lōo 46-hāng
景興路53巷,Kéng-heng-lō͘ 53-hāng,景興路53巷,Kíng-hing-lōo 53-hāng
景豐街,Kéng-hong-koe,景豐街,Kíng-hong-kue
景豐街2巷,Kéng-hong-koe 2-hāng,景豐街2巷,Kíng-hong-kue 2-hāng
景豐街31巷,Kéng-hong-koe 31-hāng,景豐街31巷,Kíng-hong-kue 31-hāng
